Isolate	Temperature	Replicate	DPI	Severity
Ctl	25	1	56	2
Ctl	25	2	56	0
Ctl	25	3	56	1
Ctl	25	4	56	2
Ctl	25	5	56	1
Ctl	25	1	56	1
Ctl	25	2	56	1
Ctl	25	3	56	0
Ctl	25	4	56	2
Ctl	25	5	56	1
